dimension_a,dimension_b,n_pairs,mean_a,mean_b,mean_difference_a_minus_b,wilcoxon_w,p_value,paired_cohen_dz,p_holm
Attraction,Resonance,309,3.5080906148867315,3.471197411003236,0.036893203883495214,20455.0,0.2587216536956872,0.0647944919497855,0.2587216536956872
Attraction,Retention,309,3.5080906148867315,3.120388349514563,0.38770226537216834,9733.5,3.9764578424077974e-19,0.5708943232684999,1.1929373527223393e-18
Attraction,Conversion,309,3.5080906148867315,2.631715210355987,0.8763754045307441,879.0,1.925394654448216e-48,1.5939013954700516,1.1552367926689295e-47
Resonance,Retention,309,3.471197411003236,3.120388349514563,0.3508090614886731,7061.0,8.642107294862753e-18,0.5565505338735608,1.7284214589725507e-17
Resonance,Conversion,309,3.471197411003236,2.631715210355987,0.8394822006472491,763.0,1.0044730822343867e-46,1.5336879933058587,5.0223654111719334e-46
Retention,Conversion,309,3.120388349514563,2.631715210355987,0.4886731391585761,5554.5,9.345479879010446e-27,0.7654546151866025,3.7381919516041784e-26
