variable,category,n,percent
Gender,Female,155,50.161812297734635
Gender,Male,154,49.83818770226537
Continent,Africa,40,12.944983818770226
Continent,Asia,95,30.74433656957929
Continent,Europe,83,26.860841423948216
Continent,North America,51,16.50485436893204
Continent,South America,40,12.944983818770226
