model,outcome,predictor,standardized_beta,std_error,t,p_value,ci95_low,ci95_high,r_squared,adj_r_squared,n
M1_Resonance,Resonance,Attraction,0.18709804715623168,0.056065176146922274,3.3371525787403153,0.0009504942097756618,0.0767774065277453,0.2974186877847181,0.035005679249675015,0.03186237527328961,309
M2_Retention,Retention,Attraction,0.05404088764112955,0.05713648166408504,0.9458210598063247,0.3449861107253065,-0.05838923775071632,0.1664710130329754,0.03600857246131872,0.029707974895706424,309
M2_Retention,Retention,Resonance,0.17207134362849294,0.057136481664085005,3.011584518629084,0.0028155938537044413,0.05964121823664714,0.28450146902033874,0.03600857246131872,0.029707974895706424,309
M3_Conversion,Conversion,Attraction,0.21313256893512017,0.05508396550240076,3.8692306734131385,0.00013353139473849706,0.10473986444013722,0.3215252734301031,0.10955478689226694,0.10079630938628914,309
M3_Conversion,Conversion,Resonance,0.15723871981234416,0.05581280755731287,2.8172515717092246,0.005159728093872538,0.04741182007086682,0.2670656195538215,0.10955478689226694,0.10079630938628914,309
M3_Conversion,Conversion,Retention,0.12349232852441337,0.05503222805385635,2.244000159389507,0.02554950954656159,0.015201431550371416,0.23178322549845531,0.10955478689226694,0.10079630938628914,309
