factor,ss_loadings,proportion_total_variance,cumulative_total_variance,paf_iterations
Attraction,2.440687968438169,0.12845726149674572,0.12845726149674572,22
Resonance,2.587654340856634,0.13619233372929654,0.26464959522604226,22
Retention,3.1009217899969586,0.16320640999983993,0.4278560052258822,22
Conversion,2.380977092568446,0.1253145838193919,0.553170589045274,22
