dimension,n,mean,sd,median,min,max,ci95_low,ci95_high,skew,kurtosis
Attraction,309,3.5080906148867315,0.4579910020907062,3.5,2.0,4.0,3.456823873961356,3.5593573558121068,-0.6220722002135928,-0.6371561576165377
Resonance,309,3.471197411003236,0.4346728018505414,3.6,1.6,4.0,3.422540870114764,3.519853951891708,-0.8288105292506924,-0.08461955512885
Retention,309,3.120388349514563,0.5424857212737524,3.4,1.4,3.8,3.059663412122127,3.1811132869069985,-0.60646060342718,-0.605737159627366
Conversion,309,2.631715210355987,0.44154830499563386,2.6,1.6,3.8,2.582289037232685,2.681141383479289,0.3059911018052201,-0.4063741200646831
Engagement_overall,309,3.182847896440129,0.2915060053241462,3.1875,2.4375,3.8000000000000003,3.1502172054769377,3.2154785874033203,-0.3845054654071442,-0.2464815080365006
