effect,estimate,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_se,bootstrap_n
Attraction -> Conversion direct,0.21313256893512017,0.10837640725647117,0.3171259458849501,0.0531183440984091,5000
Attraction -> Resonance -> Conversion,0.02941905741423547,0.0062927148183898815,0.05875887040118199,0.013724966690824503,5000
Attraction -> Retention -> Conversion,0.0066736350503292805,-0.008308609979128597,0.025752278281076128,0.008412838021177656,5000
Attraction -> Resonance -> Retention -> Conversion,0.003975738249894145,0.00011048074754116138,0.011115617256797479,0.00289596549905779,5000
Attraction -> Conversion total indirect,0.0400684307144589,0.010223178772701775,0.07660304763037233,0.017153271100081705,5000
Attraction -> Conversion total,0.2532009996495791,0.14880780706625896,0.35178674406830723,0.05162060851317087,5000
Resonance -> Retention -> Conversion,0.021249490897007072,0.0009778798003387712,0.052191392872069545,0.013305376008344328,5000
