model,formula,n,r_squared,adj_r_squared,f_statistic,f_p_value,aic,bic
M1_Resonance,Resonance_z ~ Attraction_z,309,0.035005679249675015,0.03186237527328961,11.136587333792972,0.000950494209775743,868.8917754638912,876.3584580176868
M2_Retention,Retention_z ~ Attraction_z + Resonance_z,309,0.03600857246131872,0.029707974895706424,5.715104335158313,0.0036575923280722116,870.5704729031082,881.7704967338015
M3_Conversion,Conversion_z ~ Attraction_z + Resonance_z + Retention_z,309,0.10955478689226694,0.10079630938628914,12.508428184863783,9.798149133996085e-08,848.0479780148045,862.9813431223954
