dimension_a,dimension_b,n,pearson_r,pearson_p_raw,spearman_rho,spearman_p_raw,pearson_p_holm,pearson_p_fdr_bh,spearman_p_holm,spearman_p_fdr_bh
Attraction,Resonance,309,0.18709804715623182,0.000950494209775646,0.14535534376696327,0.010516729556365595,0.003801976839102584,0.001900988419551292,0.031550188669096785,0.01438849610829693
Attraction,Retention,309,0.08623510000556955,0.13039400290381936,0.09334937748463962,0.10145089268771082,0.13039400290381936,0.13039400290381936,0.10145089268771082,0.10145089268771082
Attraction,Conversion,309,0.25320099964957915,6.591312757659377e-06,0.2860832008605752,3.123804824084451e-07,3.954787654595627e-05,3.954787654595627e-05,1.8742828944506706e-06,1.8742828944506706e-06
Resonance,Retention,309,0.18218228817273768,0.001297860608436435,0.142772644282943,0.011990413423580775,0.003893581825309305,0.0019467909126546525,0.031550188669096785,0.01438849610829693
Resonance,Conversion,309,0.21961352222785327,9.924457476044819e-05,0.20082943931839742,0.00038201042451556057,0.000496222873802241,0.0002977337242813446,0.001910052122577803,0.0011460312735466819
Retention,Conversion,309,0.17051794668574224,0.0026354591364283184,0.16927919520570045,0.0028342121958082945,0.005270918272856637,0.003162550963713982,0.011336848783233178,0.005668424391616589
