dimension,n_groups,anova_f,anova_p,eta_squared,kruskal_h,kruskal_p,anova_p_holm,kruskal_p_holm
Attraction,5,8.243186292330321,2.529547187615882e-06,0.09784988739297942,31.01083213588769,3.0458593058744324e-06,1.0118188750463529e-05,1.218343722349773e-05
Resonance,5,2.7080771065958107,0.03042330271113083,0.03440659721527956,9.168062119134117,0.05703329083627413,0.09126990813339249,0.1710998725088224
Retention,5,1.5350130295092224,0.1918904872664839,0.01979767552144481,5.937000249175126,0.2039027929917967,0.3837809745329678,0.4078055859835934
Conversion,5,1.0050539076795977,0.40506378642975693,0.013051791495199068,3.7679642595095295,0.43831821825933215,0.40506378642975693,0.43831821825933215
